Quals 1|3313|3042|7258|2451|3883|5626|3/30/2018 9:00 AM
Quals 2|2512|4277|3276|2207|5638|2525|3/30/2018 9:07 AM
Quals 3|2177|2491|6758|2667|5290|3848|3/30/2018 9:14 AM
Quals 4|5275|2225|4225|4693|2574|3130|3/30/2018 9:26 AM
Quals 5|3871|4663|4665|4778|2654|5340|3/30/2018 9:33 AM
Quals 6|5278|1625|7273|2855|2227|2175|3/30/2018 9:40 AM
Quals 7|3610|3277|3202|3750|2549|2606|3/30/2018 9:51 AM
Quals 8|4648|6912|3367|6749|2472|7019|3/30/2018 9:58 AM
Quals 9|2129|2883|171|3082|3633|4230|3/30/2018 10:05 AM
Quals 10|4277|5275|2654|3883|2512|7258|3/30/2018 10:17 AM
Quals 11|2574|5626|2491|2175|4778|6758|3/30/2018 10:24 AM
Quals 12|4225|5278|5340|2207|2667|7273|3/30/2018 10:31 AM
Quals 13|5638|3276|3313|3367|3610|5290|3/30/2018 10:38 AM
Quals 14|2855|6912|4230|3633|3848|3750|3/30/2018 10:45 AM
Quals 15|2225|4665|2472|2177|3202|3871|3/30/2018 10:52 AM
Quals 16|3130|6749|2451|4663|1625|2549|3/30/2018 11:03 AM
Quals 17|2883|7019|3042|3277|4693|2129|3/30/2018 11:10 AM
Quals 18|3082|171|4648|2227|2606|2525|3/30/2018 11:17 AM
Quals 19|7258|5290|3276|2175|3750|5278|3/30/2018 11:24 AM
Quals 20|3367|2855|3848|3610|5340|3883|3/30/2018 11:31 AM
Quals 21|2549|2512|5638|1625|6912|6758|3/30/2018 11:38 AM
Quals 22|3202|2574|4277|7019|2129|5626|3/30/2018 11:45 AM
Quals 23|3313|2654|7273|3633|171|2225|3/30/2018 11:52 AM
Quals 24|3130|4230|2883|2491|4648|4665|3/30/2018 11:59 AM
Quals 25|6749|2606|4663|3871|3042|5275|3/30/2018 1:00 PM
Quals 26|2525|2451|3082|4225|3277|2177|3/30/2018 1:07 PM
Quals 27|4778|2207|4693|2667|2227|2472|3/30/2018 1:14 PM
Quals 28|5638|7258|2574|2855|7273|3202|3/30/2018 1:21 PM
Quals 29|3276|7019|4648|3313|3130|3848|3/30/2018 1:28 PM
Quals 30|4663|6758|3610|2175|4277|2883|3/30/2018 1:35 PM
Quals 31|2654|3082|2177|2491|3042|1625|3/30/2018 1:42 PM
Quals 32|3871|3633|2207|5626|4693|5290|3/30/2018 1:49 PM
Quals 33|5278|2451|4230|2525|5275|3367|3/30/2018 1:56 PM
Quals 34|2472|3883|4225|171|3750|4778|3/30/2018 2:03 PM
Quals 35|2667|2129|6749|2512|2606|4665|3/30/2018 2:10 PM
Quals 36|5340|2225|6912|3277|2549|2227|3/30/2018 2:17 PM
Quals 37|7273|4663|7258|7019|2207|2491|3/30/2018 2:24 PM
Quals 38|2883|2525|5626|3848|5638|2654|3/30/2018 2:31 PM
Quals 39|2451|4277|3610|2472|4648|3871|3/30/2018 2:38 PM
Quals 40|4693|2606|2175|2855|4665|3883|3/30/2018 2:45 PM
Quals 41|3042|2177|2227|4230|3276|2574|3/30/2018 2:52 PM
Quals 42|4225|3367|2667|6912|2129|2549|3/30/2018 2:59 PM
Quals 43|5275|1625|3750|6758|5340|3633|3/30/2018 3:06 PM
Quals 44|3277|3130|4778|5278|3313|2512|3/30/2018 3:13 PM
Quals 45|171|6749|5290|2225|3202|3082|3/30/2018 3:20 PM
Quals 46|7273|4665|4693|3848|3610|2525|3/30/2018 3:27 PM
Quals 47|2574|2667|3883|2883|2451|4663|3/30/2018 3:34 PM
Quals 48|2606|5626|4225|3367|3276|1625|3/30/2018 3:41 PM
Quals 49|3633|5278|2549|3042|2472|5638|3/30/2018 3:48 PM
Quals 50|4230|3202|4648|2654|2207|6758|3/30/2018 3:55 PM
Quals 51|5290|2855|4778|7019|5275|171|3/30/2018 4:02 PM
Quals 52|2225|3750|2227|2491|6749|4277|3/30/2018 4:09 PM
Quals 53|2129|2175|2512|2177|5340|3313|3/30/2018 4:16 PM
Quals 54|3277|3082|3871|3130|7258|6912|3/30/2018 4:23 PM
Quals 55|3610|4230|2606|5626|5278|4663|3/30/2018 4:30 PM
Quals 56|6758|4665|3276|3883|7273|3633|3/30/2018 4:37 PM
Quals 57|4778|3848|3042|5290|2525|3202|3/30/2018 4:44 PM
Quals 58|3313|2491|2129|2549|5275|2472|3/30/2018 4:51 PM
Quals 59|7019|3871|2855|4225|3082|2512|3/30/2018 4:58 PM
Quals 60|5638|2225|4693|5340|4648|2451|3/30/2018 5:05 PM
Quals 61|3130|2175|2207|2654|6749|6912|3/30/2018 5:12 PM
Quals 62|2227|2883|3367|7258|3750|2177|3/30/2018 5:19 PM
Quals 63|4277|3277|2667|1625|171|2574|3/30/2018 5:26 PM
Quals 64|4665|4225|3610|6758|5290|3042|3/30/2018 5:33 PM
Quals 65|2606|3883|7019|5340|5638|4230|3/31/2018 9:00 AM
Quals 66|5626|2472|2175|3082|7273|3130|3/31/2018 9:07 AM
Quals 67|2883|3848|5275|2207|3367|2225|3/31/2018 9:14 AM
Quals 68|2512|3633|3277|4663|2227|3202|3/31/2018 9:21 AM
Quals 69|2451|2654|2491|3276|2855|2129|3/31/2018 9:28 AM
Quals 70|6912|2177|5278|4277|4693|171|3/31/2018 9:35 AM
Quals 71|1625|2525|2667|3750|3871|3313|3/31/2018 9:42 AM
Quals 72|2574|4778|2549|4648|7258|6749|3/31/2018 9:49 AM
Quals 73|2175|5638|7273|4230|3042|3277|3/31/2018 9:56 AM
Quals 74|2472|3848|2606|2227|4225|2654|3/31/2018 10:03 AM
Quals 75|6912|4663|5275|3202|5626|3276|3/31/2018 10:10 AM
Quals 76|2491|2512|171|4693|3367|2451|3/31/2018 10:17 AM
Quals 77|3082|2207|3750|4665|3313|2574|3/31/2018 10:24 AM
Quals 78|2549|3871|6749|3883|2883|5278|3/31/2018 10:31 AM
Quals 79|2525|7258|2855|2225|6758|2667|3/31/2018 10:38 AM
Quals 80|2129|5290|5340|4648|3130|4277|3/31/2018 10:45 AM
Quals 81|3633|2177|1625|4778|3610|7019|3/31/2018 10:52 AM
Quals 82|4665|2227|3082|5275|2451|5638|3/31/2018 10:59 AM
Quals 83|3848|2549|2207|171|2175|3871|3/31/2018 11:06 AM
Quals 84|2472|6758|4693|3276|4663|3277|3/31/2018 11:13 AM
Quals 85|4277|3313|5626|6749|4225|2855|3/31/2018 11:20 AM
Quals 86|3202|7019|2654|3610|2667|5278|3/31/2018 11:27 AM
Quals 87|3042|2525|5340|6912|2491|2883|3/31/2018 11:34 AM
Quals 88|3750|3883|4648|7273|2512|2177|3/31/2018 11:41 AM
Quals 89|5290|3130|3633|2606|2574|3367|3/31/2018 11:48 AM
Quals 90|7258|4778|1625|2129|4230|2225|3/31/2018 11:55 AM
